,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2019-08-31,8,2019-08-31,26.423076923076923,49.38461538461539,77.76923076923077,960.823076923077,213.76923076923077,0.8461538461538461,35.38461538461539,233.0,248.53846153846155
2019-09-01,9,2019-09-01,25.53076923076923,49.53846153846154,82.15384615384616,960.5230769230768,159.6153846153846,1.5076923076923079,239.07692307692307,284.84615384615387,457.84615384615387
2019-09-02,9,2019-09-02,25.46923076923077,50.7,81.92307692307692,962.0999999999999,232.92307692307693,1.7846153846153845,221.15384615384616,251.30769230769232,435.0
2019-09-03,9,2019-09-03,25.123076923076926,48.07692307692308,83.0,962.8461538461538,287.61538461538464,1.8153846153846156,138.46153846153845,248.69230769230768,369.7692307692308
2019-09-04,9,2019-09-04,26.692307692307693,48.83846153846154,76.76923076923077,961.8076923076923,177.53846153846155,1.176923076923077,230.92307692307693,286.38461538461536,425.0769230769231
2019-09-05,9,2019-09-05,25.423076923076923,48.44615384615384,81.61538461538461,962.0307692307692,199.84615384615384,1.3461538461538463,2.4615384615384617,232.3846153846154,232.84615384615384
2019-09-06,9,2019-09-06,26.892307692307693,45.5,73.92307692307692,962.3615384615385,165.92307692307693,1.1538461538461537,437.0,180.15384615384616,528.6923076923077
2019-09-07,9,2019-09-07,25.292307692307695,49.62307692307692,84.0,962.6461538461538,246.92307692307693,1.9307692307692308,217.76923076923077,268.0,421.0769230769231
2019-09-08,9,2019-09-08,24.23846153846154,51.96153846153846,87.6923076923077,963.7692307692307,240.30769230769232,1.9076923076923078,151.69230769230768,311.7692307692308,422.0769230769231
2019-09-09,9,2019-09-09,23.946153846153848,48.97692307692308,86.84615384615384,963.5615384615384,226.84615384615384,1.9076923076923078,176.07692307692307,295.9230769230769,438.0769230769231
2019-09-10,9,2019-09-10,25.476923076923075,48.599999999999994,79.0,962.1076923076923,191.53846153846155,0.7461538461538461,132.76923076923077,251.23076923076923,337.2307692307692
2019-09-11,9,2019-09-11,26.26153846153846,49.05384615384616,78.15384615384616,961.0076923076923,116.53846153846153,1.3923076923076922,252.23076923076923,276.61538461538464,463.46153846153845
2019-09-12,9,2019-09-12,26.22307692307692,48.146153846153844,77.3076923076923,962.2769230769231,177.84615384615384,1.7076923076923076,271.61538461538464,262.46153846153845,466.84615384615387
2019-09-13,9,2019-09-13,26.4,46.53846153846154,80.38461538461539,962.0,250.76923076923077,1.7846153846153845,179.69230769230768,296.7692307692308,433.6923076923077
2019-09-14,9,2019-09-14,25.299999999999997,50.94615384615384,84.76923076923077,961.7461538461539,278.38461538461536,1.3923076923076925,276.0769230769231,242.84615384615384,479.84615384615387
2019-09-15,9,2019-09-15,26.146153846153844,52.43076923076923,80.15384615384616,961.3692307692307,138.15384615384616,1.2153846153846155,67.15384615384616,313.84615384615387,345.0
2019-09-16,9,2019-09-16,26.03846153846154,49.607692307692304,80.07692307692308,961.0461538461539,275.46153846153845,1.4769230769230768,69.23076923076923,248.6153846153846,313.7692307692308
2019-09-17,9,2019-09-17,25.892307692307693,50.62307692307692,79.3076923076923,960.2846153846154,248.30769230769232,1.169230769230769,131.3846153846154,301.0,410.84615384615387
2019-09-18,9,2019-09-18,25.338461538461537,48.70769230769231,82.38461538461539,961.3307692307692,147.69230769230768,2.161538461538462,73.6923076923077,249.76923076923077,296.0
2019-09-19,9,2019-09-19,26.069230769230767,47.61538461538461,78.38461538461539,961.2923076923076,153.46153846153845,2.0,56.07692307692308,283.46153846153845,326.7692307692308
2019-09-20,9,2019-09-20,26.284615384615385,49.53076923076923,77.46153846153847,961.8384615384615,191.3846153846154,1.2999999999999998,233.15384615384616,274.53846153846155,458.7692307692308
2019-09-21,9,2019-09-21,27.253846153846155,45.88461538461539,76.61538461538461,961.3,247.69230769230768,0.8538461538461538,210.76923076923077,273.9230769230769,447.2307692307692
2019-09-22,9,2019-09-22,27.153846153846153,44.95384615384615,76.76923076923077,960.7,227.53846153846155,1.1615384615384614,257.84615384615387,243.23076923076923,455.2307692307692
2019-09-23,9,2019-09-23,26.753846153846155,48.0,79.07692307692308,961.0538461538462,235.84615384615384,1.1846153846153846,99.53846153846153,280.15384615384613,371.2307692307692
2019-09-24,9,2019-09-24,26.476923076923075,47.607692307692304,77.07692307692308,961.2076923076924,239.3846153846154,1.4923076923076921,212.53846153846155,265.38461538461536,450.46153846153845
2019-09-25,9,2019-09-25,26.50769230769231,44.08461538461539,79.46153846153847,961.1538461538462,217.84615384615384,1.4307692307692308,131.46153846153845,308.46153846153845,419.0
2019-09-26,9,2019-09-26,26.253846153846155,46.776923076923076,81.61538461538461,961.9000000000001,217.0,1.7923076923076924,62.76923076923077,318.38461538461536,362.6923076923077
2019-09-27,9,2019-09-27,25.73846153846154,46.184615384615384,78.23076923076923,961.0769230769231,208.46153846153845,1.3076923076923077,212.84615384615384,287.0769230769231,438.53846153846155
