month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
7,2,28.161538461538463,47.30769230769231,68.53846153846153,960.3461538461538,204.0,1.2307692307692308,351.53846153846155,218.53846153846155,476.0
12,9,31.376923076923077,17.599999999999998,22.153846153846157,960.1692307692308,170.84615384615384,1.1538461538461535,620.0,96.07692307692308,490.1538461538461
12,29,31.33076923076923,20.815384615384616,20.46153846153846,958.4461538461538,188.07692307692307,0.9076923076923078,156.46153846153845,245.53846153846155,357.3076923076923
2,6,33.02307692307692,14.3,13.307692307692308,960.0307692307692,154.0,0.8692307692307693,228.15384615384616,242.84615384615384,420.0
9,29,25.153846153846157,50.20769230769231,82.23076923076923,960.5307692307692,134.46153846153845,1.7000000000000002,74.84615384615384,240.23076923076923,309.15384615384613
6,18,27.73076923076923,46.41538461538461,67.61538461538461,962.9153846153846,155.0,2.0384615384615383,97.92307692307692,206.07692307692307,271.2307692307692
12,19,31.00769230769231,26.96923076923077,29.53846153846154,959.1846153846152,119.6153846153846,2.123076923076923,250.07692307692307,219.23076923076923,386.61538461538464
9,13,23.03846153846154,49.72307692307693,86.61538461538461,962.2230769230767,125.3846153846154,0.7846153846153846,42.84615384615385,282.61538461538464,323.0
10,24,24.71538461538461,49.62307692307692,83.92307692307692,960.8692307692309,187.6153846153846,1.376923076923077,14.0,123.53846153846152,126.53846153846152
11,7,29.700000000000003,26.32307692307692,51.30769230769231,959.0846153846154,154.30769230769232,1.0076923076923077,562.8461538461538,126.3846153846154,509.38461538461536
10,23,27.33076923076923,42.96153846153846,72.46153846153847,958.7615384615384,177.6153846153846,1.1153846153846154,243.23076923076923,228.84615384615384,408.0
11,3,30.058333333333334,30.325,33.25,960.4083333333332,90.91666666666669,3.45,507.1666666666667,169.5,529.4166666666666
1,24,30.73846153846154,6.984615384615385,6.846153846153846,961.1076923076924,74.0,4.2615384615384615,533.4615384615385,140.23076923076923,503.9230769230769
5,27,30.638461538461534,49.66153846153846,60.84615384615385,960.9769230769232,184.23076923076923,1.2384615384615385,140.07692307692307,241.3846153846154,367.5384615384616
1,30,32.52307692307692,9.053846153846154,7.923076923076923,961.6384615384616,184.6153846153846,1.492307692307692,461.3076923076923,177.0,492.9230769230769
