,tripReadId,partnerName,cargoTonnage,asset_type,loadedDate,source_region,destination_region,source,destination,goodType,asset_size,totalDistance,month,currency,amount
5004,TP1153920,SOA EMPIRE INTERNATIONAL LIMITED,45.0,Flatbed,2021-08-08 10:44:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,38254.0,August,NGN,517500.0
5005,TP1153977,SOA EMPIRE INTERNATIONAL LIMITED,50.0,Flatbed,2021-08-09 01:30:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,38254.0,August,NGN,575000.0
5006,TP1153967,SOA EMPIRE INTERNATIONAL LIMITED,50.0,Flatbed,2021-08-08 17:47:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,0.0,August,NGN,575000.0
5007,TP1153974,SOA EMPIRE INTERNATIONAL LIMITED,50.0,Flatbed,2021-08-08 18:09:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,0.0,August,NGN,575000.0
5008,TP1153666,SOA EMPIRE INTERNATIONAL LIMITED,45.0,Flatbed,2021-08-06 10:46:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,38254.0,August,NGN,517000.0
5009,TP1153621,SOA EMPIRE INTERNATIONAL LIMITED,45.0,Flatbed,2021-08-06 06:32:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,38254.0,August,NGN,517500.0
5010,TP1154531,Emeka Obi,30.0,Open,2021-08-12 12:12:00+00:00,south west,south west,LAGOS,LAGOS,PASTA,30.0,4806.0,August,NGN,115772.0
5011,TP1153946,SOA EMPIRE INTERNATIONAL LIMITED,40.0,Flatbed,2021-08-08 14:57:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,78601.0,August,NGN,440000.0
5012,TP1153952,SOA EMPIRE INTERNATIONAL LIMITED,40.0,Flatbed,2021-08-08 14:56:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,78601.0,August,NGN,440000.0
5013,TP1154745,Abimkem logistics,20.0,Covered,2021-08-13 07:48:00+00:00,south west,south west,OGUN,LAGOS,OTHERS,20.0,38066.0,August,NGN,87008.25
5014,TP1154664,Alhamdulillah Sufuri Technologies Ltd,30.0,Open,2021-08-13 08:44:00+00:00,south west,south south,LAGOS,EDO,FLOUR,30.0,324600.0,August,NGN,332960.0
