month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
7,12,23.984615384615385,49.66153846153846,84.3076923076923,963.7384615384616,169.30769230769232,1.4230769230769231,7.230769230769231,101.84615384615384,100.15384615384616
8,4,24.107692307692307,40.95384615384615,79.6923076923077,964.6692307692308,243.15384615384616,2.761538461538461,243.30769230769232,403.3076923076923,231.3846153846154
6,30,26.784615384615385,46.900000000000006,70.92307692307692,963.4692307692308,237.92307692307693,0.8923076923076922,19.76923076923077,288.84615384615387,276.15384615384613
9,26,24.73076923076923,41.69230769230769,76.84615384615384,962.1307692307691,151.53846153846155,0.8538461538461538,250.92307692307693,428.3076923076923,275.38461538461536
8,31,25.784615384615385,43.56153846153846,82.07692307692308,960.5538461538462,300.38461538461536,2.0307692307692307,379.3076923076923,505.9230769230769,192.7692307692308
3,3,33.9,15.13076923076923,11.076923076923077,957.7923076923076,98.6923076923077,2.7384615384615385,417.3076923076923,517.6923076923077,200.15384615384616
1,9,32.746153846153845,20.192307692307693,16.923076923076923,960.4230769230768,85.53846153846153,1.6923076923076923,353.0,431.5384615384616,192.84615384615384
2,22,34.99230769230769,22.407692307692308,12.461538461538462,958.5846153846154,91.84615384615384,1.676923076923077,320.3076923076923,471.46153846153845,229.84615384615384
10,11,26.5,40.66666666666666,72.75,961.8083333333334,262.5833333333333,1.7916666666666667,108.08333333333331,408.5833333333333,332.75
5,27,30.638461538461534,49.66153846153846,60.84615384615385,960.9769230769232,184.23076923076923,1.2384615384615385,140.07692307692307,367.5384615384616,241.3846153846154
10,6,24.77692307692308,49.8,84.38461538461539,960.4153846153846,274.61538461538464,2.0538461538461537,192.30769230769232,324.2307692307692,207.53846153846155
4,1,32.4,43.5,50.07692307692308,958.7307692307692,219.69230769230768,2.176923076923077,61.84615384615385,368.2307692307692,309.7692307692308
10,24,24.71538461538461,49.62307692307692,83.92307692307692,960.8692307692309,187.6153846153846,1.376923076923077,14.0,126.53846153846152,123.53846153846152
7,30,23.96153846153846,46.138461538461534,85.23076923076923,962.0846153846154,264.53846153846155,2.4153846153846152,2.3846153846153846,250.69230769230768,250.07692307692307
2,12,30.12307692307693,12.76923076923077,11.76923076923077,961.2384615384616,93.6923076923077,1.8923076923076925,113.07692307692308,385.0,294.15384615384613
